S_0,expEuler,impEuler,CN,ADE,BT
2.22581,47.7742,47.7742,47.7742,47.7905,47.7742
2.24675,47.7532,47.7532,47.7532,47.7698,47.7532
2.26797,47.732,47.732,47.732,47.7488,47.732
2.28947,47.7105,47.7105,47.7105,47.7275,47.7105
2.31126,47.6887,47.6887,47.6887,47.7059,47.6887
2.33333,47.6667,47.6667,47.6667,47.6841,47.6667
2.3557,47.6443,47.6443,47.6443,47.6619,47.6443
2.37838,47.6216,47.6216,47.6216,47.6395,47.6216
2.40136,47.5986,47.5986,47.5986,47.6168,47.5986
2.42466,47.5753,47.5753,47.5753,47.5937,47.5753
2.44828,47.5517,47.5517,47.5517,47.5704,47.5517
2.47222,47.5278,47.5278,47.5278,47.5467,47.5278
2.4965,47.5035,47.5035,47.5035,47.5227,47.5035
2.52113,47.4789,47.4789,47.4789,47.4983,47.4789
2.5461,47.4539,47.4539,47.4539,47.4736,47.4539
2.57143,47.4286,47.4286,47.4286,47.4485,47.4286
2.59712,47.4029,47.4029,47.4029,47.4231,47.4029
2.62319,47.3768,47.3768,47.3768,47.3974,47.3768
2.64964,47.3504,47.3504,47.3504,47.3712,47.3504
2.67647,47.3235,47.3235,47.3235,47.3447,47.3235
2.7037,47.2963,47.2963,47.2963,47.3178,47.2963
2.73134,47.2687,47.2687,47.2687,47.2904,47.2687
2.7594,47.2406,47.2406,47.2406,47.2627,47.2406
2.78788,47.2121,47.2121,47.2121,47.2345,47.2121
2.81679,47.1832,47.1832,47.1832,47.206,47.1832
2.84615,47.1538,47.1538,47.1538,47.1769,47.1538
2.87597,47.124,47.124,47.124,47.1475,47.124
2.90625,47.0938,47.0938,47.0938,47.1175,47.0938
2.93701,47.063,47.063,47.063,47.0871,47.063
2.96825,47.0317,47.0317,47.0317,47.0563,47.0317
3,47,47,47,47.0249,47
3.03226,46.9677,46.9677,46.9677,46.993,46.9677
3.06504,46.935,46.935,46.935,46.9606,46.935
3.09836,46.9016,46.9016,46.9016,46.9277,46.9016
3.13223,46.8678,46.8678,46.8678,46.8943,46.8678
3.16667,46.8333,46.8333,46.8333,46.8603,46.8333
3.20168,46.7983,46.7983,46.7983,46.8257,46.7983
3.23729,46.7627,46.7627,46.7627,46.7905,46.7627
3.2735,46.7265,46.7265,46.7265,46.7547,46.7265
3.31034,46.6897,46.6897,46.6897,46.7184,46.6897
3.34783,46.6522,46.6522,46.6522,46.6813,46.6522
3.38596,46.614,46.614,46.614,46.6437,46.614
3.42478,46.5752,46.5752,46.5752,46.6054,46.5752
3.46429,46.5357,46.5357,46.5357,46.5664,46.5357
3.5045,46.4955,46.4955,46.4955,46.5267,46.4955
3.54545,46.4545,46.4545,46.4545,46.4862,46.4545
3.58716,46.4128,46.4128,46.4128,46.4451,46.4128
3.62963,46.3704,46.3704,46.3704,46.4032,46.3704
3.6729,46.3271,46.3271,46.3271,46.3605,46.3271
3.71698,46.283,46.283,46.283,46.317,46.283
